startDate,startTime,endDate,endTime,sleepTime,sleepSeconds
2021-08-09,03:40,2021-08-09,09:50,6:10:00,22200
2021-08-10,04:00,2021-08-10,12:40,8:40:00,31200
2021-08-11,03:00,2021-08-11,12:10,9:10:00,33000
2021-08-12,05:40,2021-08-12,13:30,7:50:00,28200
2021-08-13,03:30,2021-08-13,13:00,9:30:00,34200
2021-08-14,03:50,2021-08-14,12:20,8:30:00,30600
2021-08-15,04:50,2021-08-15,13:30,8:40:00,31200
2021-08-16,07:20,2021-08-16,14:40,7:20:00,26400
2021-08-17,06:30,2021-08-17,14:40,8:10:00,29400
2021-08-18,06:50,2021-08-18,12:40,5:50:00,21000
2021-08-21,03:50,2021-08-21,11:10,7:20:00,26400
2021-08-22,07:40,2021-08-22,13:50,6:10:00,22200
2021-08-23,07:50,2021-08-23,14:20,6:30:00,23400
2021-08-24,04:00,2021-08-24,12:20,8:20:00,30000
2021-08-25,06:30,2021-08-25,14:10,7:40:00,27600
2021-08-26,07:10,2021-08-26,15:00,7:50:00,28200
2021-08-27,07:30,2021-08-27,14:40,7:10:00,25800
2021-08-28,06:30,2021-08-28,14:50,8:20:00,30000
2021-08-29,07:00,2021-08-29,14:30,7:30:00,27000
2021-08-30,06:10,2021-08-30,15:50,9:40:00,34800
2021-08-31,06:30,2021-08-31,14:50,8:20:00,30000
2021-09-01,06:40,2021-09-01,13:50,7:10:00,25800
2021-09-02,06:00,2021-09-02,10:40,4:40:00,16800
2021-09-03,05:50,2021-09-03,14:10,8:20:00,30000
2021-09-04,14:30,2021-09-04,18:40,4:10:00,15000
2021-09-05,06:10,2021-09-05,15:40,9:30:00,34200
2021-09-06,12:30,2021-09-06,19:00,6:30:00,23400
2021-09-07,08:20,2021-09-07,16:10,7:50:00,28200
2021-09-08,06:40,2021-09-08,14:20,7:40:00,27600
2021-09-09,06:20,2021-09-09,16:30,10:10:00,36600
2021-09-10,05:00,2021-09-10,10:10,5:10:00,18600
2021-09-11,07:00,2021-09-11,10:16,3:16:00,11760
2021-09-12,06:40,2021-09-12,14:40,8:00:00,28800
2021-09-13,05:20,2021-09-13,14:57,9:37:00,34620
2021-09-14,08:50,2021-09-14,15:10,6:20:00,22800
2021-09-15,07:40,2021-09-15,15:00,7:20:00,26400
2021-09-16,05:20,2021-09-16,09:30,4:10:00,15000
2021-09-17,07:20,2021-09-17,14:50,7:30:00,27000
2021-09-18,02:10,2021-09-18,08:40,6:30:00,23400
2021-09-19,06:10,2021-09-19,11:10,5:00:00,18000
2021-09-20,00:50,2021-09-20,03:40,2:50:00,10200
2021-09-21,05:00,2021-09-21,15:00,10:00:00,36000
2021-09-21,23:00,2021-09-22,03:30,4:30:00,16200
2021-09-23,00:00,2021-09-23,03:37,3:37:00,13020
2021-09-23,15:00,2021-09-23,18:07,3:07:00,11220
2021-09-24,07:30,2021-09-24,16:30,9:00:00,32400
2021-09-25,00:23,2021-09-25,03:37,3:14:00,11640
2021-09-25,16:30,2021-09-25,18:30,2:00:00,7200
2021-09-26,05:10,2021-09-26,11:20,6:10:00,22200
2021-09-27,06:50,2021-09-27,09:30,2:40:00,9600
2021-09-27,10:00,2021-09-27,17:00,7:00:00,25200
2021-09-28,08:10,2021-09-28,13:10,5:00:00,18000
2021-09-29,00:00,2021-09-29,02:28,2:28:00,8880
2021-09-29,13:00,2021-09-29,17:00,4:00:00,14400
2021-09-30,00:00,2021-09-30,03:37,3:37:00,13020
2021-09-30,11:30,2021-09-30,16:30,5:00:00,18000
